,City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
537,Dingli,35.86,65.17,68.0,20.0,13.87
538,Boksburg,-26.21,77.94,39.0,90.0,2.24
539,Marawi,8.0,80.01,84.0,20.0,1.01
541,Poum,41.28,59.0,47.0,40.0,6.93
542,Veraval,49.65,74.16,35.0,0.0,6.93
543,Klaksvik,62.23,55.4,71.0,39.0,17.22
544,Ballina,54.11,61.39,48.0,0.0,11.41
545,Ust-Omchug,61.13,26.87,93.0,100.0,7.83
546,Saint-Prosper,46.21,50.9,79.0,100.0,5.99
547,Fort Frances,48.61,36.01,74.0,1.0,5.41
548,Hambantota,6.12,82.4,94.0,90.0,3.36
549,Ishigaki,24.34,76.37,85.0,100.0,11.05
550,Dicabisagan,17.08,77.99,79.0,31.0,2.64
551,Yerbogachen,61.28,16.79,87.0,44.0,3.0
552,Royan,45.62,76.89,31.0,0.0,11.41
553,Bandarbeyla,9.49,82.49,60.0,0.0,13.76
554,Sumbe,-11.2,84.2,80.0,40.0,9.17
555,Mizdah,31.45,82.13,19.0,99.0,19.22
556,Ostrovnoy,68.05,34.43,98.0,99.0,10.63
557,Barra Patuca,15.8,80.51,74.0,0.0,16.89
558,Elena,42.93,60.4,39.0,40.0,17.22
559,San Juan,18.47,81.37,57.0,40.0,9.17
560,Jacmel,18.24,84.25,61.0,20.0,20.8
561,Porto Novo,-23.68,66.2,93.0,75.0,11.59
562,Karratha,-20.74,83.57,27.0,98.0,18.99
563,Bure,10.52,104.99,6.0,13.0,4.94
564,Eyrarbakki,63.86,47.77,81.0,90.0,20.8
565,Colac,-38.34,55.47,73.0,60.0,1.01
566,Coihaique,-45.58,47.19,70.0,40.0,3.36
567,Srandakan,-7.94,83.75,80.0,100.0,16.69
568,Kitzingen,49.73,71.49,28.0,20.0,10.29
569,Andilamena,-17.01,68.63,89.0,67.0,7.81
570,Portalegre,39.29,60.58,63.0,90.0,4.7
571,Maniitsoq,65.42,17.87,40.0,0.0,2.68
572,Omboue,-1.57,83.93,82.0,90.0,13.85
573,Laguna,27.52,57.2,62.0,40.0,2.24
574,Kelso,46.14,52.92,87.0,90.0,1.9
575,Holguin,20.89,80.6,65.0,20.0,9.17
576,Puerto Madryn,-42.77,63.05,41.0,0.0,16.75
577,Morant Bay,17.88,82.4,61.0,20.0,17.22
578,Ahipara,-35.17,63.41,74.0,1.0,7.76
579,York,53.96,67.21,45.0,0.0,9.17
581,Velyka Bilozerka,47.27,49.01,46.0,99.0,13.31
582,Alcacer Do Sal,38.37,62.04,63.0,40.0,4.7
583,Casino,-28.86,68.25,93.0,75.0,5.82
584,Sioux Lookout,50.1,38.44,59.0,20.0,2.24
585,Illapel,-31.63,62.33,77.0,59.0,5.84
586,Zemio,5.02,94.19,34.0,90.0,2.35
587,Borogontsy,62.67,18.05,90.0,12.0,7.05
588,Jalu,29.03,78.35,22.0,0.0,11.21
590,Oktyabrskiy,55.61,53.94,26.0,0.0,4.47
591,Prokopyevsk,53.89,27.95,45.0,100.0,4.12
592,Ouallam,14.32,107.87,3.0,1.0,4.41
593,Bonthe,7.53,91.31,57.0,86.0,10.33
594,Dawson Creek,55.76,34.84,74.0,1.0,13.71
595,Shatrovo,42.29,54.1,33.0,40.0,8.05
596,Jacareacanga,-6.22,85.37,81.0,72.0,3.65
598,Nchelenge,-9.35,81.95,66.0,79.0,2.68
599,Homer,59.64,30.76,59.0,75.0,19.46
600,Camacha,33.08,60.8,55.0,20.0,18.34
601,Agaro,7.86,76.91,47.0,83.0,3.33
602,Qinhuangdao,39.94,50.27,26.0,47.0,3.04
603,Kalmunai,7.42,79.43,89.0,100.0,6.33
605,Marsh Harbour,26.54,77.63,81.0,1.0,22.35
606,Ushtobe,45.25,63.41,59.0,100.0,15.73
607,Mercedes,-33.25,75.29,65.0,98.0,6.98
608,Ossora,59.24,27.77,84.0,18.0,3.83
609,Faya,18.39,78.85,38.0,40.0,14.99
610,Alta Floresta,-9.87,84.2,79.0,20.0,2.24
611,Cayenne,4.94,82.4,83.0,96.0,3.36
612,Flinders,-34.58,62.01,100.0,33.0,4.7
613,Faanui,-16.48,84.29,73.0,11.0,7.78
614,Zhob,31.34,69.71,27.0,78.0,8.52
615,Albury,-36.08,58.95,72.0,8.0,1.12
616,Esperance,10.24,84.06,74.0,40.0,18.34
617,Jaguariaiva,-24.25,75.0,75.0,0.0,5.46
618,Haapiti,-17.57,78.37,65.0,20.0,3.36
619,Kaabong,3.51,82.85,36.0,30.0,7.7
621,Bogorodskoye,52.37,29.75,98.0,100.0,7.38
622,Gizo,31.8,64.85,52.0,40.0,20.8
623,Telde,27.99,67.17,56.0,40.0,27.51
624,Sinnamary,5.38,81.41,81.0,44.0,15.39
625,Mirnyy,56.57,50.81,38.0,16.0,3.06
627,Ormara,25.21,82.31,44.0,0.0,14.34
628,Burriana,39.89,56.44,93.0,100.0,18.34
629,Wangqing,43.31,35.33,33.0,0.0,2.24
630,Moranbah,-22.0,66.29,86.0,0.0,9.04
631,Kachiry,53.07,32.99,54.0,100.0,7.47
633,Alanya,36.55,69.8,46.0,20.0,4.7
634,Nanortalik,60.14,32.09,58.0,0.0,16.11
635,Opuwo,-18.06,91.67,24.0,5.0,4.54
636,Erzin,36.95,59.79,48.0,75.0,10.29
637,Yenagoa,4.92,88.61,66.0,86.0,6.62
638,Alyangula,-13.85,77.0,88.0,90.0,3.36
640,Yaqui,27.37,57.2,62.0,40.0,2.24
641,Silifke,36.38,62.15,26.0,33.0,14.0
642,Victoria,5.28,79.52,94.0,90.0,2.24
643,Merauke,-8.49,82.49,78.0,55.0,20.31
644,Ponta Delgada,37.73,64.4,93.0,75.0,5.82
646,Bubaque,11.28,78.17,72.0,3.0,14.81
647,Uong Bi,21.03,84.2,89.0,0.0,6.93
648,Beloha,-25.17,72.41,73.0,100.0,14.54
649,Cartagena,37.63,56.71,87.0,20.0,6.93
651,Yumen,40.29,57.65,40.0,100.0,6.89
652,Mandera,3.94,94.01,40.0,47.0,9.86
653,Iskateley,67.68,33.17,98.0,99.0,10.76
654,Senanga,-16.1,84.47,43.0,86.0,6.22
655,Loos,50.61,74.1,35.0,20.0,11.41
656,Chateauroux,43.72,70.41,38.0,0.0,14.99
657,Portland,45.52,53.13,87.0,75.0,5.82
658,Waitati,-45.75,53.01,86.0,99.0,7.0
659,Seguin,29.57,58.69,66.0,1.0,16.82
660,Hailey,43.52,37.4,60.0,1.0,11.41
661,Coria,39.98,63.0,57.0,75.0,1.99
662,Venice,27.1,80.46,83.0,1.0,21.92
663,Kulhudhuffushi,6.62,85.91,74.0,83.0,13.8
664,Buraydah,26.33,87.8,27.0,0.0,5.82
665,Baherden,38.44,48.83,85.0,89.0,4.05
666,Leh,34.16,23.63,31.0,0.0,4.05
667,Sabang,13.72,81.23,77.0,0.0,11.3
668,Dolores,-36.31,77.63,56.0,19.0,10.4
669,Teguise,29.06,71.6,43.0,40.0,20.8
670,Fontem,5.49,84.65,43.0,98.0,6.93
671,The Valley,18.22,81.07,57.0,40.0,18.34
672,Copiapo,-27.37,60.8,67.0,90.0,2.24
673,Whitehorse,60.72,31.41,64.0,75.0,5.82
675,Trikala,39.56,63.45,48.0,40.0,5.82
676,Hegra,63.46,60.33,36.0,0.0,10.29
677,Mnogovershinnyy,53.94,28.31,97.0,100.0,7.05
678,Kadnikov,59.5,47.93,67.0,48.0,4.36
679,Hinton,53.4,32.09,97.0,100.0,3.06
680,Manama,25.33,91.45,17.0,0.0,8.05
681,Nishihara,35.74,61.66,77.0,75.0,17.22
682,Marystown,47.17,39.0,100.0,100.0,5.01
683,Poopo,-18.38,51.8,62.0,40.0,4.7
684,Liverpool,53.41,71.04,40.0,0.0,3.36
685,Axim,4.87,87.35,66.0,100.0,10.09
686,Maputo,-25.97,84.2,62.0,20.0,17.22
687,Guerande,48.47,69.01,52.0,0.0,14.99
690,Bereda,43.27,62.55,68.0,20.0,3.36
691,Viedma,-40.81,67.19,43.0,0.0,10.65
692,Pisco,-13.71,72.93,30.0,100.0,3.36
694,Tuim,54.34,18.41,74.0,46.0,2.93
695,Cap Estate,14.08,83.08,69.0,40.0,11.41
696,Hailar,49.2,47.39,49.0,49.0,28.16
698,Tuy Hoa,13.08,81.59,72.0,44.0,2.42
699,Sitrah,26.15,92.07,16.0,40.0,5.82
700,Monte Santo,-10.44,91.85,44.0,66.0,3.47
701,Labytnangi,66.66,12.65,91.0,15.0,8.55
702,Shibetsu,44.15,30.47,77.0,1.0,6.49
703,Melilla,-0.8,77.0,83.0,75.0,5.82
704,Iralaya,15.0,77.0,83.0,40.0,6.29
705,Quilpue,-33.05,54.82,100.0,90.0,4.7
706,Ayan,40.67,31.55,87.0,96.0,9.98
707,Oranjestad,12.52,82.4,74.0,20.0,23.04
708,Port Hawkesbury,45.62,38.57,100.0,90.0,14.99
709,Matay,28.42,77.99,24.0,23.0,13.06
710,Eyl,7.98,83.75,61.0,19.0,13.27
711,Vostok,46.45,28.49,61.0,71.0,4.94
712,Ouadda,8.07,90.05,30.0,100.0,7.25
713,Wanaka,-44.7,43.79,94.0,97.0,5.35
715,Maragogi,-9.01,89.87,56.0,98.0,8.66
717,Bull Savanna,17.89,82.67,64.0,0.0,20.2
719,Tucurui,-3.77,88.61,60.0,46.0,4.63
720,Oranjemund,-28.55,60.89,90.0,78.0,8.08
721,Pleasanton,37.66,52.68,87.0,1.0,4.7
722,Bodaybo,57.85,15.71,82.0,100.0,6.33
723,Charleston,38.35,64.26,82.0,90.0,10.29
725,Zhuhai,40.71,55.4,93.0,40.0,6.35
726,Verbivka,47.97,47.75,38.0,100.0,12.5
727,Wangaratta,-36.36,58.46,50.0,3.0,4.76
728,Sibolga,1.74,85.73,75.0,100.0,11.83
729,Svetlogorsk,53.14,44.6,20.0,1.0,8.95
730,Vila Velha,-3.71,83.73,79.0,75.0,2.24
731,Churapcha,62.0,17.33,90.0,13.0,5.59
732,Bayshore Gardens,27.43,79.77,78.0,40.0,20.8
733,Piuma,-20.84,85.37,61.0,1.0,5.08
735,Beihai,38.95,51.8,32.0,0.0,2.24
736,Beringovskiy,63.05,16.79,84.0,0.0,7.61
737,Canyon,34.98,43.88,75.0,1.0,9.17
738,Leshukonskoye,64.9,35.33,91.0,100.0,0.63
739,Islamkot,24.7,91.67,19.0,0.0,5.41
740,Altay,47.83,36.59,41.0,54.0,4.68
741,Karlskrona,56.16,59.0,33.0,0.0,9.17
742,Okha,53.59,33.53,90.0,100.0,12.39
744,Husavik,50.56,44.01,76.0,33.0,3.0
746,Mastung,29.8,73.31,19.0,0.0,6.6
747,Ahuimanu,21.44,71.94,82.0,40.0,11.41
748,Samarai,-10.62,73.13,88.0,23.0,3.09
749,Sajokaza,48.28,66.31,18.0,0.0,18.34
750,Egvekinot,66.32,2.57,90.0,100.0,9.26
753,San Patricio,-26.98,74.57,63.0,100.0,4.5
754,Tekkali,18.62,82.31,77.0,0.0,4.32
755,Makokou,0.56,76.55,95.0,100.0,2.93
756,Portel,38.31,60.8,72.0,40.0,6.93
757,Marzuq,14.4,86.99,33.0,19.0,10.45
758,San Cristobal,-0.39,54.18,93.0,75.0,4.7
759,Muncar,-8.43,74.03,96.0,52.0,3.47
760,Port Augusta,-32.49,80.6,24.0,49.0,11.41
761,Bloomingdale,41.96,41.92,75.0,90.0,10.29
762,Jauja,-11.78,54.59,47.0,21.0,4.23
764,Huntington,38.42,64.62,82.0,90.0,6.93
765,Huarmey,-10.07,69.17,91.0,100.0,10.42
766,Rundu,-17.91,93.2,23.0,7.0,11.41
768,Skvyra,49.73,51.89,50.0,99.0,10.45
769,Burgeo,47.61,33.17,94.0,100.0,24.49
770,Meulaboh,4.14,84.83,75.0,100.0,11.59
771,Sao Jose Da Coroa Grande,-8.9,89.87,56.0,98.0,8.66
772,Brae,60.4,55.35,47.0,0.0,27.51
773,Grahamstown,-33.31,73.0,79.0,98.0,1.99
774,Auki,12.18,102.65,4.0,6.0,5.39
776,Fomboni,-12.28,85.19,74.0,0.0,14.09
777,Paamiut,61.99,27.77,61.0,0.0,19.22
778,Otane,-39.89,39.99,93.0,3.0,1.99
779,Port-Cartier,50.03,34.03,94.0,90.0,5.82
780,Quelimane,-17.88,77.99,79.0,1.0,5.77
782,Tsiroanomandidy,-18.77,74.21,77.0,0.0,2.93
783,Launceston,-41.43,47.28,81.0,39.0,2.24
785,Yichun,47.72,29.75,53.0,0.0,2.89
786,Qingdao,36.09,53.6,32.0,0.0,6.71
788,Casteldaccia,38.05,63.91,77.0,0.0,16.11
789,Rangpur,25.76,88.25,28.0,52.0,5.61
790,Darhan,49.49,27.05,38.0,80.0,6.67
791,Ofaqim,31.31,64.54,57.0,0.0,4.0
792,Eureka,40.8,52.95,93.0,90.0,3.36
